faust_number,isbn,book_title,book_author
134575107,,Netspinderen,Lars Kepler
52647738,,Ternet Ninja,Anders Matthesen
46010353,9788702277739,Liv på spil,Søren Jessen (f. 1963)
53770479,9788711896563,De 100 mest fantastiske fortidsdyr,Sebastian Klein
48263089,9788726440621,Naja Münster - det store snemonster,Line Kyed Knudsen
52423783,,Flunkerne i Danmark,"Joaquín Cera,Juan Carlos Ramis"
52286999,,Dragesværdet,Jan Kjær (f. 1971)
135280178,,De bedste familier,Kim Blæsbjerg
53130283,,Hvor der er fugle,Maren Uthaug
39472791,,Snesmil,"Lotte Hammer,Søren Hammer"
39617706,,Englevagt,Sofie Sarenbrant
51650824,9788771650761,Vildheks. 1,Lene Kaaberbøl
38273302,,Biavlerens løfte,Fiona Valpy
52652383,,Lille Frø bygger rumraket,Jakob Martin Strid
47311918,9788726084160,Min historie,Michelle Obama
47109981,,Den sidste enke,Karin Slaughter
53223281,,Blodmåne,Katrine Engberg
53817823,,Pigen under jorden,Elly Griffiths
29088896,9788711409046,Lyntyven,Rick Riordan
46152034,,Villads fra Valby lærer klokken,Anne Sofie Hammer (f. 1972-02-05)
39262436,,Den japanske elsker,Isabel Allende
62932988,,Sange om stilhed og hjem,Anne Lise Marstrand-Jørgensen
38959573,,Boghandlen ved Themsens bred,Frida Skybäck (f. 1980)
47640911,9788702294279,Den magiske sommer,Sara Ejersbo
38986503,,Den inderste kerne,Lotte Kaa Andersen
51759443,,Villads fra Valby på sommerferie,Anne Sofie Hammer (f. 1972-02-05)
52484804,9788711444771,Pigerne fra Englandsbåden,Lone Theils
51067959,9788702162929,Dig og mig ved daggry,"Sanne Munk Jensen,Glenn Ringtved"
48266266,,Sjælemaleren,Ildefonso Falcones
38276255,,Arabica,Puk Damsgård Andersen
28487541,9788702106138,Mere om os børn i Bulderby,Astrid Lindgren
38983237,,Øen,Ragnar Jónasson (f. 1976)
54825455,,Blodspor,Julie Hastrup
48047769,,"Ligevægt - stærk, let og mæt",Anne Hjernøe
52401399,,Villads fra Valby er indbrudstyv,Anne Sofie Hammer (f. 1972-02-05)
52467764,9788711655733,Forbandede kærlighed,Colleen Hoover
52668883,,Trikozappen,Jan Kjær (f. 1971)
134495626,,Mosen,Liza Marklund
50520730,,Mimbo Jimbo besøger en ven,Jakob Martin Strid
135176877,,Birgithe med th,Katrine Marie Guldager
54129653,,Løgnens hus,Elly Griffiths
39011212,,Shuggie Bain,Douglas Stuart (f. 1976-05-31)
38528858,,Natsangeren,Johanna Mo (f. 1976)
53660118,,"Drengen der fik ting i hovedet - ""de mystiske øjne""",Kasper Hoff
46553772,,Til min søster,Dy Plambeck
47109736,,Den anden dødssynd,Jan Guillou
48321976,,Alt det jeg aldrig fortalte dig,Celeste Ng (f. 1980)
39471736,,Store Kongensgade 23,Søren Ulrik Thomsen (f. 1956)
